study,study_published_by_2021,study_published_by_2022,study_published_after_2021,study_published_by_2025,link,study_never_published,study_is_tess,study_is_sociology,study_is_political_science,study_is_communication,study_is_psychology,study_is_social_policy,study_authors,study_title,study_field
CalarcoS38,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Jessica Calarco,Public Perceptions of Prenatal Alcohol Consumption,Sociology
Cohen1099,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Emma Cohen,"Social Class, College Debt, and the Purpose of College",Sociology
HamiltonS31,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Laura Hamilton; Natasha Quadlin; Brian Powell,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,Sociology
KrupnikovS34,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/poq/article/85/2/678/6375399?login=true,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Yanna Krupnikov,The Partisan Gender Gap: Genuine Attachment or Social Motivation?,"Political Science, Communication"
Silverman1035,TRUE,TRUE,FALSE,TRUE,https://journals.sagepub.com/doi/10.1177/00220027211036935,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Daniel Silverman; Daniel Kent; Christopher Gelpi,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,"Political Science, Terrorism, Foreign Policy, Belief Correction"
HankinsonS22,TRUE,TRUE,FALSE,TRUE,https://www.tessexperiments.org/sup/hankinsonapsr.pdf,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Michael Hankinson; Justin de Benedictis-Kessner,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,Political Science
Harbridge-Yong1032,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/lsq.12279?casa_token=xLXm0xguDXkAAAAA%3ASzeJeJPVqmJFOYELAiePdsBt9jUTdsnwWoKwzI91n1Zm2d16YEMBN3DvA5m1-V41GHiJ-kFp3O_tZlQ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Laurel Harbridge-Yong; Celia Paris,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,Political Science
Howat1039,TRUE,TRUE,FALSE,TRUE,"https://faculty.wcas.northwestern.edu/jnd260/pub/Rothschild,%20Howat,%20Shafranek,%20Busby%202018.pdf",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Ethan C. Busby; Adam J. Howat; Jacob E. Rothschild; Richard M. Shafranek,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,"Political Science, Psychology"
Kennedy1017,TRUE,TRUE,FALSE,TRUE,https://www.sciencedirect.com/science/article/pii/S0304422X19302992,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Emily Huddart Kennedy; Christine Horne,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,Sociology
McCabeS19,FALSE,TRUE,TRUE,TRUE,https://www.tandfonline.com/doi/full/10.1080/17457289.2022.2113089,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Katherine McCabe,Public Opinion and Attributions for Health Care Costs,Political Science
MunschS68,FALSE,FALSE,TRUE,TRUE,https://journals.sagepub.com/doi/full/10.1177/01902725221141059,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Christin Munsch; Lindsey Trimble O'Connor,Gender and the Disparate Payoffs of Overwork,Sociology
Rifkin1073,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jacqueline Rifkin; Keisha Cutright,"Introducing a Novel Framework for Understanding The Relationships Between Busyness, Idleness, and Happiness",Psychology
RyanS14,TRUE,TRUE,FALSE,TRUE,https://www.journals.uchicago.edu/doi/abs/10.1086/711133?casa_token=BrcYOdsEyaAAAAAA:wl1rYNqZpLImqVzhlRud1BFgGd4a-yPt50sZJGigF4D6--fmLBH7XQVWtMu0YGC1HG3ujzoCOoav,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Timothy Ryan,Are losers gullible? A new test of ideological asymmetry in conspiracy beliefs,Political Science
Schnabel903,TRUE,TRUE,FALSE,TRUE,https://www.proquest.com/docview/2309942217?pq-origsite=gscholar&fromopenview=true,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Landon Schnabel,"Are Religions Gender-Typed? The Perceived Femininity and Masculinity of Christians, Jews, Muslims, and Atheists","Sociology, Religion, Gender, Femininity, Masculinity"
Terman1029,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Rochelle Terman,"Human Rights Shaming, Compliance, and Nationalist Backlash","Law, Political Science"
Bougher893,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Lori Bougher,Issue (Dis)agreement and Intergroup Bias in Affective Polarization,Political Science
Haaland874,TRUE,TRUE,FALSE,TRUE,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3039629,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ingar Haaland; Christopher Roth,Beliefs about Racial Discrimination,Economics
Williamson859,TRUE,TRUE,FALSE,TRUE,https://www.dannyhayes.org/uploads/6/9/8/5/69858539/williamson_taxpayer_identity_ncapsa_june2017.pdf,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Vanessa Williamson,“The Taxpayer Gap”: Perceptions of the Taxpaying Population and Opposition to Welfare Spending,"Political Science, Social Policy"
AnsonBRIEF60,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Ian Anson,Which Economy? Class and Partisan Biases in the Acquisition of Economic Information,Political Science
