StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,discipline,discipline_8_TEXT,Q126,Q126_8_TEXT,position,position_11_TEXT,phd_year,survey_exp_yn,phd_year_timer_First Click,phd_year_timer_Last Click,phd_year_timer_Page Submit,phd_year_timer_Click Count,exp_survey_exp,exp_lab_exp,exp_ml_ai,exp_timer_First Click,exp_timer_Last Click,exp_timer_Page Submit,exp_timer_Click Count,llm_use_1,llm_use_2,ai_positive_effect,techsavvy_timer_First Click,techsavvy_timer_Last Click,techsavvy_timer_Page Submit,techsavvy_timer_Click Count,AI_Intro_timer_First Click,AI_Intro_timer_Last Click,AI_Intro_timer_Page Submit,AI_Intro_timer_Click Count,use_power_analysis_1,use_interventions_1,use_generalizability_1,use_harm_1,use_replication_1,use_combine_1,use_pilots_1,use_hard_to_reach_1,use_mediators_1,use_moderators_1,use_open,use_overall_5,use_timer_First Click,use_timer_Last Click,use_timer_Page Submit,use_timer_Click Count,concern_replacing_5,concern_minority_acc_5,concern_stereotypes_5,concern_black_box_5,concern_proprietary_5,concern_focus_5,concern_false_negati_5,concern_variance_5,concern_misuse_5,concern_timer_First Click,concern_timer_Last Click,concern_timer_Page Submit,concern_timer_Click Count,ai_risk_open,Gender,Gender_3_TEXT,race,polit,anything_else,demos_timer_First Click,demos_timer_Last Click,demos_timer_Page Submit,demos_timer_Click Count,gc,Q_TotalDuration,Q_Language,Q_TerminateFlag,ml
5/14/25 15:35,5/14/25 15:45,100,613,TRUE,5/14/25 15:45,R_8SjjnFx6SGiIYsx,0.800000012,,0,0,,Other (please specify),Communication science ,,,"Associate Professor, or equivalent",,2016,Yes,9.696,27.195,28.01,4,A great deal of experience7,A great deal of experience7,4,35.225,59.082,65.446,5,2+ times per day,1 time per day,Somewhat positive,8.603,23.947,28.587,5,0,0,11.384,0,65,64,62,59,50,30,80,60,50,50,,67,86.967,314.509,314.509,33,90,64,84,63,75,76,72,57,68,12.468,98.4,98.41,20,,Male,,White / Caucasian,3,,2.572,21.948,21.956,7,1,613,EN,,
5/14/25 15:43,5/14/25 15:49,100,388,TRUE,5/14/25 15:49,R_3wTTvbrHsniTVrr,0.800000012,,0,0,,Psychology,,Social psychology,,"Professor, or equivalent",,2003,Yes,1.998,17,19.458,6,A great deal of experience7,A great deal of experience7,2,4.728,8.44,9.663,3,Never,1 time per month or less,Very negative,8.365,28.136,30.281,4,0,0,9.553,0,16,27,1,1,50,0,5,2,29,9,NA,6,34.944,170.368,173.162,24,100,83,97,97,97,51,68,90,100,8.455,72.725,77.558,15,"shit in, shit out",Male,,White / Caucasian,3,,8.083,32.269,32.271,6,1,388,EN,,
5/14/25 15:45,5/14/25 15:52,100,446,TRUE,5/14/25 15:52,R_8ImvHRyvu9mf2Ny,1,,0,0,,Psychology,,Cognitive psychology,,Postdoctoral fellow or researcher,,2024,Yes,2.71,20.684,21.422,12,5,3,5,4.675,18.11,18.62,8,2-3 times per month,2-3 times per month,Somewhat positive,6.972,15.836,16.3,6,5.612,5.612,6.467,1,75,95,75,20,65,40,75,80,80,70,"Maybe for causal inference, i.e., what would happen if x was controlled, etc., as it can be difficult to control all potential confounders in practice.",60,13.037,250.839,251.728,52,100,65,90,60,100,70,90,100,90,9.073,58.501,97.192,31,Eliminating social scientists' critical thinking skills!,Male,,White / Caucasian,3,,1.917,20.3,20.3,10,1,446,EN,,
5/14/25 15:44,5/14/25 15:54,100,628,TRUE,5/14/25 15:54,R_5w6VWw7z5BIJ8IB,0.8999999761581421,,0,25,,Sociology,,,,Graduate student,,8,No,1.76,12.506,15.092,5,3,3,3,9.948,18.398,19.383,3,2-3 times per week,1 time per day,Very negative,9.123,36.02,38.701,7,0,0,10.976,0,0,0,0,0,2,1,91,5,0,0,I like the idea of using them as Petri dishes for more sophisticated agent-based model type projects.,1,6.202,168.449,169.663,18,50,7,8,76,88,10,3,95,3,131.231,229.033,244.694,14,Gross environmental costs and bolstering a the latest fad the silicon valley oligarchy are feeding off of.,Male,,White / Caucasian,2,"I found the first set of scales a little hard to interpret because I was unclear if I should assume I would have had the training necessary to immediately use these new, accurate, AI models. I also find ""AI"" to be vague and would have preferred in a few areas if it had specified when the question was specifically about large language models/predictive text.",6.384,15.368,90.222,4,1,628,EN,,
5/14/25 15:56,5/14/25 16:00,100,274,TRUE,5/14/25 16:00,R_41vkt04WAFkXm2M,0.800000012,,0,0,,Psychology,,Cognitive psychology,,Postdoctoral fellow or researcher,,2016,Yes,2.622,14.907,22.455,4,5,5,No experience at all1,9.304,21.987,22.914,3,1 time per week,2+ times per day,Somewhat positive,15.159,27.893,29.043,3,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,No,0,37.701,104.285,108.687,18,13,15,15,13,13,15,15,14,14,13.823,40.671,45.355,11,None,Male,,White / Caucasian,3,,1.756,23.691,23.693,4,1,274,EN,,
5/14/25 16:13,5/14/25 16:17,100,206,TRUE,5/14/25 16:17,R_5t05yDIOK8FACt3,0.8999999761581421,,0,0,,Political Science,,,,"Associate Professor, or equivalent",,2018,Yes,3.572,12.791,13.552,4,A great deal of experience7,A great deal of experience7,A great deal of experience7,2.86,10.147,11.075,4,2-3 times per week,2-3 times per week,Somewhat negative,7.712,14.226,14.9,5,0,0,5.558,0,91,93,88,55,75,53,89,21,0,87,,73,3.368,81.808,81.815,39,100,100,31,65,27,100,65,100,66,2.1,40.906,40.914,26,,Male,,White / Caucasian,3,,2.431,12.484,12.49,12,1,206,EN,,
5/14/25 16:12,5/14/25 16:19,100,413,TRUE,5/14/25 16:19,R_7ZK4ZyXvuwFrQh9,1,,0,0,,Sociology,,,,"Professor, or equivalent",,1998,Yes,2.718,14.182,18.088,3,6,3,No experience at all1,14.544,22.824,24.411,3,Never,1 time per week,Somewhat negative,20.102,29.814,35.601,3,0,0,9.795,0,98,84,79,89,57,87,84,78,76,78,,74,31.731,119.066,119.068,12,84,25,84,75,50,86,25,86,83,8.851,56.138,153.209,10,"You can only ask questions that already exist in the world (so that such ""data"" can be a part of the training model for the LLM or whatever).  Thus, social science becomes less innovative.",Male,,White / Caucasian,2,,3.513,19.057,19.059,4,1,413,EN,,
5/14/25 16:53,5/14/25 16:57,100,234,TRUE,5/14/25 16:57,R_1LutGsQGAUJEtbP,1,,0,0,,Political Science,,,,"Associate Professor, or equivalent",,2008,Yes,3.745,18.735,22.648,5,6,No experience at all1,2,10.447,19.41,20.819,3,1 time per month or less,2-3 times per month,Somewhat negative,9.997,15.563,16.734,3,0,0,5.858,0,81,80,80,80,80,80,73,52,82,73,nothing comes to mind,59,22.157,78.028,84.963,16,69,91,92,74,56,91,65,84,70,5.555,37.645,42.544,12,nothing comes to mind,Female,,White / Caucasian,4,no,4.379,12.29,15.042,5,1,234,EN,,
5/14/25 16:54,5/14/25 16:58,100,200,TRUE,5/14/25 16:58,R_3sdpzFUcQSBxmuV,1,,0,0,,Political Science,,,,"Professor, or equivalent",,2012,Yes,1.71,9.807,11.201,5,A great deal of experience7,A great deal of experience7,5,4.363,10.89,12.62,6,1 time per month or less,1 time per month or less,Somewhat positive,9.34,17.129,18.146,6,0,0,6.751,0,89,78,28,58,45,11,78,27,28,69,,68,6.145,82.033,82.039,29,98,72,100,91,99,75,32,100,100,2.203,39.4,39.301,26,,Male,,White / Caucasian,5,,1.422,11.29,11.299,10,1,200,EN,,
5/14/25 16:57,5/14/25 17:03,100,338,TRUE,5/14/25 17:03,R_1juIztWxPzF47vA,0.800000012,,0,75,,Political Science,,,,"Professor, or equivalent",,1994,Yes,3.976,16.45,17.686,6,6,2,3,7.019,27.225,32.532,5,2-3 times per week,2-3 times per month,Somewhat positive,19.791,33.224,34.361,4,0,0,8.693,0,65,83,63,83,60,49,82,49,59,45,,90,2.591,136.246,136.256,32,51,56,55,60,60,52,41,72,49,6.094,65.896,65.801,21,,Male,,White / Caucasian,4,,1.378,20.861,20.868,9,1,338,EN,,
5/14/25 18:03,5/14/25 18:07,100,254,TRUE,5/14/25 18:07,R_67jLoyGqX82vQZj,0.8999999761581421,,0,0,,Political Science,,,,"Associate Professor, or equivalent",,2012,Yes,4.814,13.878,14.757,4,5,2,5,8.372,22.723,23.51,5,Never,Never,Very negative,5.576,13.482,16.401,5,0,0,4.697,0,0,0,1,0,0,0,0,1,0,0,Absolutely not. ,0,11.441,97.172,97.969,42,99,99,99,99,100,98,98,98,100,6.505,35.112,44.092,20,"Garbage in, garbage out. ",Male,,White / Caucasian,Extremely Liberal,,5.788,15.803,15.81,7,1,254,EN,,
5/14/25 18:07,5/14/25 18:11,100,233,TRUE,5/14/25 18:11,R_3D0ifSu9sziEkkZ,0.8999999761581421,,0,0,,Political Science,,,,"Professor, or equivalent",,1999,Yes,2.368,12.326,13.492,3,6,4,3,7.997,12.784,14.661,3,1 time per month or less,2-3 times per month,Somewhat negative,13.245,19.61,20.895,3,0,0,4.66,0,16,16,14,11,50,1,24,50,19,50,no,20,5.607,85.081,87.977,15,81,69,87,79,82,86,72,72,72,7.319,61.186,61.188,11,,Male,,White / Caucasian,2,,3.379,12.498,12.499,4,1,233,EN,,
5/14/25 18:38,5/14/25 18:51,100,824,TRUE,5/14/25 18:51,R_2ri9b80LtgvOEmU,0.800000012,,0,5,,Sociology,,,,Postdoctoral fellow or researcher,,2024,Yes,1.834,22.237,36.301,7,6,2,6,8.007,27.352,29.452,4,2-3 times per week,Never,Somewhat negative,9.149,47.897,49.201,5,0,0,4.348,0,85,80,83,70,71,83,87,60,66,65,,80,9.36,357.753,357.762,53,62,94,82,66,87,74,62,99,64,14.272,158.232,311.342,25,I am concerned that many social scientists will lack the background necessary to understand the limits of the models or to properly validate their results. I have already seen LLMs misapplied and improperly validated due to limited understanding of model architecture in a paper I reviewed recently. ,Female,,White / Caucasian,Extremely Liberal,,6.439,18.875,18.883,7,1,824,EN,,
