StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,discipline,discipline_8_TEXT,Q126,Q126_8_TEXT,position,position_11_TEXT,phd_year,survey_exp_yn,phd_year_timer_First Click,phd_year_timer_Last Click,phd_year_timer_Page Submit,phd_year_timer_Click Count,exp_survey_exp,exp_lab_exp,exp_ml_ai,exp_timer_First Click,exp_timer_Last Click,exp_timer_Page Submit,exp_timer_Click Count,llm_use_1,llm_use_2,ai_positive_effect,techsavvy_timer_First Click,techsavvy_timer_Last Click,techsavvy_timer_Page Submit,techsavvy_timer_Click Count,AI_Intro_timer_First Click,AI_Intro_timer_Last Click,AI_Intro_timer_Page Submit,AI_Intro_timer_Click Count,use_power_analysis_1,use_interventions_1,use_generalizability_1,use_harm_1,use_replication_1,use_combine_1,use_pilots_1,use_hard_to_reach_1,use_mediators_1,use_moderators_1,use_open,use_overall_5,use_timer_First Click,use_timer_Last Click,use_timer_Page Submit,use_timer_Click Count,concern_replacing_5,concern_minority_acc_5,concern_stereotypes_5,concern_black_box_5,concern_proprietary_5,concern_focus_5,concern_false_negati_5,concern_variance_5,concern_misuse_5,concern_timer_First Click,concern_timer_Last Click,concern_timer_Page Submit,concern_timer_Click Count,ai_risk_open,Gender,Gender_3_TEXT,race,polit,anything_else,demos_timer_First Click,demos_timer_Last Click,demos_timer_Page Submit,demos_timer_Click Count,gc,Q_TotalDuration,Q_Language,Q_TerminateFlag,ml
5/16/25 4:34,5/16/25 4:38,100,264,TRUE,5/16/25 4:38,R_8GD06cTiy0LfDh6,1,,0,25,,Psychology,,Cognitive psychology,,Postdoctoral fellow or researcher,,N/A,Yes,1.861,16.112,17.152,7,A great deal of experience7,A great deal of experience7,A great deal of experience7,3.955,8.74,9.431,3,2+ times per day,1 time per week,Very positive,3.721,12.121,12.78,3,0,0,1.101,0,100,62,64,67,100,50,22,26,78,24,,91,15.696,127.844,127.848,26,56,100,100,26,100,49,100,6,43,11.796,71.712,71.715,16,,Female,,White / Caucasian,Extremely Liberal,,3.834,10.399,10.401,4,1,264,EN,,
5/16/25 4:35,5/16/25 4:40,100,302,TRUE,5/16/25 4:40,R_6a8LCvZWtNrCeun,0.8999999761581421,,0,0,,Psychology,,Cognitive psychology,,Graduate student,,2025,Yes,2.066,18.246,27.198,6,2,A great deal of experience7,No experience at all1,3.732,22.146,24.587,7,2-3 times per week,Never,Very negative,2.664,17.546,18.402,8,0,0,5.862,0,2,1,3,2,4,2,5,2,4,2,No. ,2,9.691,95.523,96.645,33,100,100,100,100,100,89,100,91,89,2.967,40.098,84.676,22,Generally I'm very concerned that the use of AI will cause researchers (and people generally) to stop thinking creatively.,Male,,White / Caucasian,Extremely Liberal,No,2.777,23.208,25.335,13,1,302,EN,,
5/16/25 4:34,5/16/25 4:40,100,349,TRUE,5/16/25 4:40,R_1rovPtFl5IoLTVN,0.8999999761581421,,0,0,,Psychology,,Social psychology,,"Professor, or equivalent",,2001,Yes,1.995,16.509,21.131,4,A great deal of experience7,A great deal of experience7,2,4.479,8.363,10.265,3,Never,1 time per month or less,Very negative,5.632,19.59,21.094,3,0,0,6.022,0,1,1,1,1,74,1,74,1,1,1,"None that I know of.  I study humans, not machines simulating humans.",50,7.516,171.205,174.532,26,100,50,50,100,100,100,50,87,74,8.133,62.006,82.811,10,That they become a replaced for studying actual human beings.,Male,,White / Caucasian,3,,2.345,12.579,12.581,4,1,349,EN,,
5/16/25 4:35,5/16/25 4:42,100,403,TRUE,5/16/25 4:42,R_2r9wpmfP3xuplcH,0.10000000149011612,,0,0,,Psychology,,Cognitive psychology,,Graduate student,,2028,Yes,1.946,30.905,31.553,23,5,4,No experience at all1,5.629,25.282,25.955,9,2-3 times per month,2-3 times per week,Somewhat positive,1.968,34.893,35.747,9,2.024,2.024,10.23,1,87,80,67,75,77,86,63,84,72,60,/,77,2.517,117.504,118.368,62,73,67,76,82,69,100,70,78,56,3.284,49.489,52.423,27,/,Male,,White / Caucasian,4,/,6.892,28.091,30.393,13,1,403,EN,,
5/16/25 4:43,5/16/25 4:47,100,248,TRUE,5/16/25 4:47,R_83tPPCL1uxcKXD3,0.8999999761581421,,0,5,,Psychology,,Social psychology,,"Associate Professor, or equivalent",,,Yes,3.733,20.619,20.62,5,6,6,2,4.797,10.278,11.304,3,1 time per month or less,1 time per day,Somewhat positive,8.85,33.682,35.035,5,0,0,4.57,0,79,51,49,22,72,19,19,60,61,62,,36,13.234,99.938,99.939,13,82,87,88,81,85,49,74,57,65,7.557,55.032,55.033,11,,Male,,White / Caucasian,,,1.797,9.774,9.775,4,1,248,EN,,
5/16/25 4:45,5/16/25 4:51,100,356,TRUE,5/16/25 4:51,R_7Db9F2zn79PMqsP,1,,0,0,,"Psychology,Political Science,Other (please specify)",Business,Cognitive psychology,,"Professor, or equivalent",,2009,Yes,4.128,18.32,19.025,9,A great deal of experience7,A great deal of experience7,5,4.096,12.24,12.9,4,2-3 times per week,2+ times per day,Equally positive and negative,16.111,24.464,25.278,5,0,0,7.621,0,74,68,11,9,56,5,59,10,12,10,"Power analysis could be good, but the size of effects varies along across platforms etc so I find it unlikely that the model would actually be accurate. More generally, in answering these questions I didn't have a very good time at suspending disbelief and taking the prompt literally that the AI had been validated to be super accurate because I'm just generally skeptical of that",12,20.493,120.751,175.28,27,85,85,87,66,80,77,84,80,26,8.247,62.439,64.542,23,When you say most worried about it's unclear whether you mean the things that I think are most likely to happen or the things that I would be most worried about if they did happen,Male,,White / Caucasian,2,How well did the AI predict my answers?,4.604,29.689,30.579,12,1,356,EN,,
5/16/25 4:40,5/16/25 4:52,100,729,TRUE,5/16/25 4:52,R_8OcWOId3hoEmGUW,0.699999988,,0,0,,Other (please specify),Marketing ,,,Graduate student,,0,Yes,4.6,22.149,24.889,11,6,6,No experience at all1,4.246,19.449,20.848,7,2+ times per day,2-3 times per week,Very positive,7.571,66.512,67.222,12,0,0,6.192,0,62,56,71,77,75,68,62,81,58,69,,70,2.984,195.372,195.382,68,76,62,75,55,61,39,52,41,39,7.815,104.991,104.999,32,,Female,,Asian / Asian-American,2,,3.512,42.46,42.468,14,1,729,EN,,
5/16/25 4:50,5/16/25 4:55,100,340,TRUE,5/16/25 4:55,R_2FPz9EfwXGFCoPC,0.8999999761581421,,0,0,,Psychology,,Cognitive psychology,,"Associate Professor, or equivalent",,2015,Yes,2.271,27.078,29.283,6,A great deal of experience7,3,3,3.534,19.422,21.055,6,1 time per day,2-3 times per week,Somewhat positive,11.082,29.397,30.386,6,0,0,4,0,81,81,81,81,81,80,81,81,81,81,,90,12.89,100.146,100.147,20,75,78,77,72,70,74,73,76,80,7.011,114.98,119.23,13,General overreliance on AI and lack of weird ideas,Male,,White / Caucasian,Extremely Liberal,,4.628,15.035,15.036,6,1,340,EN,,
5/16/25 4:52,5/16/25 4:56,100,261,TRUE,5/16/25 4:56,R_2bVkiglHsXzVkb4,1,,0,0,,"Psychology,Other (please specify)",Computer Science ,Social psychology,,Graduate student,,2026,Yes,2.889,25.575,26.021,13,A great deal of experience7,5,5,2.957,8.32,9.869,6,1 time per week,2-3 times per month,Somewhat negative,8.279,14.33,14.953,6,0,0,2.934,0,2,0,0,15,0,0,5,0,2,2,"No, I feel this is something that needs to be look d at empirically and from previous research, not from an AI model. ",5,0.846,103.145,104.064,39,79,71,72,53,70,61,59,80,85,3.555,41.001,68.646,18,Concerns around lack of skills from young researchers if AI is used for everything ,Male,,Other,Extremely Liberal,,1.356,11.46,11.465,11,1,261,EN,,
5/16/25 4:58,5/16/25 5:03,100,286,TRUE,5/16/25 5:03,R_823ehYE15geWXkr,0.10000000149011612,,0,0,,Other (please specify),Law and Administratrion,,,"Assistant Professor, or equivalent",,2022,Yes,5.387,18.95,21.431,5,4,2,No experience at all1,14.84,21.295,22.781,4,1 time per month or less,1 time per week,Somewhat positive,4.649,16.714,19.243,5,0,0,3.401,0,97,72,68,37,73,76,68,48,88,72,,71,13.498,87.544,87.547,23,92,74,74,30,17,83,95,77,51,7.934,60.761,60.764,20,,Male,,White / Caucasian,4,,3.12,19.553,19.555,7,1,286,EN,,
5/16/25 5:13,5/16/25 5:20,100,427,TRUE,5/16/25 5:20,R_2PAjzPJ8Phc2cKk,1,,0,0,,Psychology,,Social psychology,,Pre-doctoral student/researcher,,2027,Yes,2.943,52.124,53.119,12,4,2,No experience at all1,4.733,21.202,22.347,6,1 time per week,1 time per week,Somewhat negative,3.731,38.114,39.126,7,0,0,4.093,0,42,65,34,63,63,32,66,36,65,62,No,59,3.417,195.493,197.127,67,72,67,70,74,67,30,36,30,73,4.187,74.985,74.992,37,,Male,,White / Caucasian,2,,2.441,13.242,13.249,9,1,427,EN,,
5/16/25 5:15,5/16/25 5:21,100,371,TRUE,5/16/25 5:21,R_7efqKjFn0O6FXCT,0.4000000059604645,,0,0,,Other (please specify),Business,,,"Associate Professor, or equivalent",,2003,Yes,9.143,19.356,21.095,4,6,5,No experience at all1,7.337,13.662,15.785,3,1 time per week,1 time per week,Very positive,10.118,24.694,26.229,5,0,0,10.342,0,88,74,74,83,71,73,85,80,50,73,Not in my mind right now,75,49.587,152.837,166.351,21,100,100,100,100,100,100,76,100,100,7.991,68.526,78.045,20,They are all above,Male,,White / Caucasian,2,Nope,2.374,18.353,21.196,6,1,371,EN,,
5/16/25 5:22,5/16/25 5:26,100,253,TRUE,5/16/25 5:26,R_4JfTxbX2CNIMtD0,1,,0,0,,Other (please specify),Management ,,,Graduate student,,2027,Yes,2.801,20.535,25.9,7,6,5,3,6.411,16.041,16.79,6,1 time per week,2+ times per day,Somewhat positive,10.729,19.901,20.769,5,0,0,4.277,0,86,84,80,8,80,76,100,64,74,94,,86,7.639,94.5,94.5,34,74,59,58,58,63,25,23,63,67,3.489,46.2,46.2,23,,Male,,White / Caucasian,3,,2.682,11.601,11.601,10,1,253,EN,,
5/16/25 5:23,5/16/25 5:27,100,270,TRUE,5/16/25 5:27,R_2nGFu4EwwkjNXj1,0.8999999761581421,,0,0,,Other (please specify),behavioural science,,,"Professor, or equivalent",,2011,Yes,2.218,12.973,14.816,3,A great deal of experience7,A great deal of experience7,No experience at all1,3.978,7.23,8.712,3,2-3 times per week,1 time per day,Somewhat positive,17.781,35.806,36.774,5,0,0,3.707,0,96,99,95,92,83,50,96,89,98,90,,87,10.201,70.566,70.568,18,78,91,93,100,100,100,97,100,83,4.085,47.078,47.079,14,,Female,,White / Caucasian,2,"My answers on the likelihood of using AI are strongly reliant on the assumptions you made at the beginning of the question page. Unless those are verified, my likelihood of using AI would be zero.",2.534,8.661,64.6,4,1,270,EN,,
5/16/25 5:24,5/16/25 5:31,100,414,TRUE,5/16/25 5:31,R_2POndEGoh9B9O6J,0.800000012,,0,0,,Psychology,,Social psychology,,Postdoctoral fellow or researcher,,2023,No,2.438,19,19.835,9,4,No experience at all1,2,7.704,22.324,24.234,6,2-3 times per week,1 time per day,Somewhat positive,9.495,25.428,26.279,6,0,0,10.676,0,100,86,100,100,100,100,100,100,100,100,,100,1.922,128.43,128.44,52,65,51,88,59,50,83,77,70,87,15.181,92.565,92.573,28,,Female,,White / Caucasian,2,,2.079,31.634,31.641,14,1,414,EN,,
5/16/25 5:29,5/16/25 5:37,100,471,TRUE,5/16/25 5:37,R_5HBImn7QQr5XavD,1,,0,0,,Other (please specify),Science and engineering,,,Postdoctoral fellow or researcher,,2023,Yes,2.312,18.539,19.391,7,A great deal of experience7,4,No experience at all1,5.585,19.272,20.165,5,2+ times per day,2-3 times per week,Somewhat positive,14.176,31.263,32.271,7,0,0,13.473,0,100,100,70,100,20,100,100,80,100,100,Not that I know of,100,21.2,171.957,172.839,32,59,100,25,78,50,100,100,50,70,37.651,147.065,162.237,26,"I'm concerned that the use of AI will lead to tunnel vision, wherein we look only at the problems or questions that have already been extensively studied. ",Female,,White / Caucasian,5,,7.089,20.103,20.107,10,1,471,EN,,
5/16/25 5:30,5/16/25 5:37,100,440,TRUE,5/16/25 5:37,R_7MKxV4KnzF66suU,0.8999999761581421,,0,0,,Psychology,,Other (please specify),Behavior change interventions ,Graduate student,,2026,Yes,2.259,28.139,28.602,11,5,A great deal of experience7,6,5.641,12.346,12.747,5,2+ times per day,2-3 times per week,Somewhat positive,2.594,14.15,15.101,6,0,0,3.201,0,75,75,75,100,75,50,74,75,50,75,Na,75,1.999,39.616,39.63,19,25,52,75,75,74,50,26,100,25,4.825,56.403,76.295,21,I think it may just perpetuate our leaning on whatever is most convenient to do research rather than actually going on the field ,Female,,White / Caucasian,2,,2.203,10.942,10.947,8,1,440,EN,,
5/16/25 5:36,5/16/25 5:41,100,277,TRUE,5/16/25 5:41,R_5DtAO3NieKTbOd2,0.800000012,,0,0,,Psychology,,Social psychology,,"Associate Professor, or equivalent",,2010,Yes,1.714,28.717,30.621,9,A great deal of experience7,A great deal of experience7,No experience at all1,4.076,12.786,14.001,5,2+ times per day,2+ times per day,Equally positive and negative,12.016,29.682,34.822,8,0,0,7.595,0,58,67,66,15,50,24,68,21,50,77,,71,1.868,105.027,105.036,56,72,100,94,51,49,69,49,23,49,7.094,52.001,52.009,27,,Male,,White / Caucasian,2,,1.655,13.12,13.128,9,1,277,EN,,
5/16/25 5:38,5/16/25 5:44,100,362,TRUE,5/16/25 5:44,R_7rEl746nyAJplMl,0.4000000059604645,,0,0,,"Psychology,Other (please specify)",Organizational Behaviour,Social psychology,,Graduate student,,2026,Yes,3.249,22.959,25.811,4,A great deal of experience7,4,2,5.362,12.481,13.614,3,2-3 times per week,2-3 times per week,Very negative,9.993,20.641,22.22,3,0,0,6.251,0,9,79,100,20,26,79,100,99,87,97,,94,15.769,100.787,100.789,12,100,22,35,50,50,50,29,20,71,31.212,145.187,147.429,15,Dependence on AI reducing the quality of original ideas and theorizing,Male,,White / Caucasian,3,,1.807,13.015,13.016,5,1,362,EN,,
5/16/25 5:52,5/16/25 5:58,100,315,TRUE,5/16/25 5:58,R_5PIsykphVLHdh4J,0.8999999761581421,,0,0,,Psychology,,Social psychology,,"Associate Professor, or equivalent",,2016,Yes,3.682,25.123,26.333,4,A great deal of experience7,A great deal of experience7,5,6.168,12.976,13.721,3,2-3 times per month,2+ times per day,Somewhat positive,9.622,17.101,18.308,3,0,0,2.466,0,100,100,100,100,100,100,100,100,100,100,"Study of dynamic systems, evolutionary models.",100,7.565,112.051,112.988,17,100,50,100,100,100,100,50,100,100,5.939,63.777,108.104,10,The problem with AI is the same problem we have with programming. Garbage in - garbage out. A model is only as good as the data on which it was trained. It is quite easy to bias AI.,Male,,White / Caucasian,6,,1.913,13.392,13.394,4,1,315,EN,,
5/16/25 5:55,5/16/25 5:59,100,219,TRUE,5/16/25 5:59,R_1DHyNFQPanwc43B,0.8999999761581421,,0,0,,Other (please specify),organizational behavior,,,Graduate student,,3,Yes,2.305,13.557,22.684,4,6,6,2,4.076,9.287,12.482,3,2-3 times per week,1 time per day,Somewhat positive,6.503,15.569,16.517,5,1.081,2.609,4.576,4,58,50,15,13,20,13,63,58,20,31,,80,8.242,65.847,65.851,17,90,31,27,57,13,30,85,85,9,3.309,46.7,46.601,14,,Female,,White / Caucasian,2,,2.985,10.19,10.193,4,1,219,EN,,
