StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,discipline,discipline_8_TEXT,Q126,Q126_8_TEXT,position,position_11_TEXT,phd_year,survey_exp_yn,phd_year_timer_First Click,phd_year_timer_Last Click,phd_year_timer_Page Submit,phd_year_timer_Click Count,exp_survey_exp,exp_lab_exp,exp_ml_ai,exp_timer_First Click,exp_timer_Last Click,exp_timer_Page Submit,exp_timer_Click Count,llm_use_1,llm_use_2,ai_positive_effect,techsavvy_timer_First Click,techsavvy_timer_Last Click,techsavvy_timer_Page Submit,techsavvy_timer_Click Count,AI_Intro_timer_First Click,AI_Intro_timer_Last Click,AI_Intro_timer_Page Submit,AI_Intro_timer_Click Count,use_power_analysis_1,use_interventions_1,use_generalizability_1,use_harm_1,use_replication_1,use_combine_1,use_pilots_1,use_hard_to_reach_1,use_mediators_1,use_moderators_1,use_open,use_overall_5,use_timer_First Click,use_timer_Last Click,use_timer_Page Submit,use_timer_Click Count,concern_replacing_5,concern_minority_acc_5,concern_stereotypes_5,concern_black_box_5,concern_proprietary_5,concern_focus_5,concern_false_negati_5,concern_variance_5,concern_misuse_5,concern_timer_First Click,concern_timer_Last Click,concern_timer_Page Submit,concern_timer_Click Count,ai_risk_open,Gender,Gender_3_TEXT,race,polit,anything_else,demos_timer_First Click,demos_timer_Last Click,demos_timer_Page Submit,demos_timer_Click Count,gc,Q_TotalDuration,Q_Language,Q_TerminateFlag,ml
5/8/25 21:51,5/8/25 21:54,100,180,TRUE,5/8/25 21:54,R_5uMLndDvrBBw3zr,1,,0,75,,"Political Science,Other (please specify)",Communication,,,Graduate student,,2026,Yes,3.168,14.316,20.725,5,A great deal of experience7,6,6,3.144,10.197,11.319,4,2+ times per day,2+ times per day,Somewhat positive,2.843,9.478,10.86,4,0,0,1.315,0,65,59,6,43,61,30,73,43,21,22,,2,6.265,70.419,70.422,18,96,63,61,100,99,99,51,98,93,2.894,42.061,42.062,19,,Female,,Asian / Asian-American,2,,3.812,11.87,11.871,6,1,180,EN,,
5/8/25 21:54,5/8/25 21:58,100,209,TRUE,5/8/25 21:58,R_3Xbx63VcAmUEsQ9,1,,0,25,,Political Science,,,,"Associate Professor, or equivalent",,2016,Yes,3.186,13.57,14.9,4,A great deal of experience7,5,4,6.077,12.764,13.485,3,Never,2-3 times per month,Very negative,8.897,21.431,22.7,4,0,0,3.421,0,70,50,70,75,30,25,65,25,50,50,,50,8.714,81.88,81.884,14,100,100,100,100,100,75,75,100,100,12.827,44.596,44.598,13,,Male,,White / Caucasian,2,,1.984,9.752,9.754,5,1,209,EN,,
5/8/25 21:53,5/8/25 21:58,100,339,TRUE,5/8/25 21:58,R_3OPEeT61hoRWgdi,1,,0,0,,"Psychology,Other (please specify)",Criminology ,,,"Associate Professor, or equivalent",,2010,Yes,4.598,37.231,38.019,14,A great deal of experience7,A great deal of experience7,5,3.149,11.293,12.027,5,2-3 times per week,2-3 times per week,Somewhat negative,12.534,29.197,29.924,6,0,0,11.744,0,100,75,51,73,79,51,87,66,72,75,,78,2.154,108.105,108.11,30,83,100,100,74,100,52,88,75,100,10.602,64.373,98.923,21,Data are likely to be biased. I worry results will be based on the foundation of human bias embedded in the data. ,Female,,White / Caucasian,Extremely Liberal,,2.599,16.224,16.226,9,1,339,EN,,
5/8/25 21:54,5/8/25 22:01,100,457,TRUE,5/8/25 22:01,R_7il2lVZjvzKqQ4V,1,,0,0,,Sociology,,,,"Assistant Professor, or equivalent",,2021,Yes,1.687,15.008,16.296,7,5,No experience at all1,4,8.258,20.067,20.836,6,1 time per month or less,1 time per day,Somewhat positive,13.656,23.815,26.433,4,0,0,10.983,0,70,4,70,50,50,1,20,25,2,4,,20,5.478,201.75,201.759,43,81,97,100,89,93,70,35,76,50,16.704,156.031,156.039,41,,Male,,Latino / Hispanic,Extremely Liberal,,4.753,13.371,13.378,7,1,457,EN,,
5/8/25 21:56,5/8/25 22:02,100,339,TRUE,5/8/25 22:02,R_9dyGnk5sHAN8HC1,1,,0,0,,Sociology,,,,"Associate Professor, or equivalent",,2014,Yes,1.999,26.998,29.238,6,A great deal of experience7,A great deal of experience7,No experience at all1,6.618,12.801,13.602,4,2-3 times per month,1 time per month or less,Equally positive and negative,16.684,34.532,35.236,7,0,0,8.129,0,100,100,100,100,50,50,0,0,100,100,No,50,0.934,135.713,139.447,36,100,100,100,50,100,100,0,50,100,5.477,68.074,72.697,17,NA,Male,,White / Caucasian,Extremely Liberal,No,1.495,13.577,15.687,10,1,339,EN,,
5/8/25 21:57,5/8/25 22:05,100,477,TRUE,5/8/25 22:05,R_6iD2UU3vtJOmW2e,1,,0,0,,Sociology,,,,Postdoctoral fellow or researcher,,2023,Yes,1.908,16.484,17.469,6,3,3,No experience at all1,8.895,39.766,40.766,10,1 time per month or less,Never,Somewhat negative,19.346,35.686,37.319,6,0,0,7.334,0,76,50,1,21,1,1,1,1,76,75,,25,5.19,233.856,233.867,28,100,93,100,100,97,30,51,100,93,8.156,67.948,67.96,29,,Male,,Latino / Hispanic,Extremely Liberal,,1.701,53.232,53.237,15,1,477,EN,,
5/8/25 22:00,5/8/25 22:05,100,285,TRUE,5/8/25 22:05,R_37fKtzNP6S9ecdP,1,,0,0,,Psychology,,,,"Associate Professor, or equivalent",,2012,Yes,3.031,26.316,27.675,11,A great deal of experience7,4,2,5.987,16.087,17.402,6,Never,Never,Very negative,4.841,13.957,15.363,6,0,0,6.376,0,59,50,3,21,50,2,4,2,3,2,No,4,9.177,106.165,107.7,36,100,56,51,72,100,100,100,7,86,7.077,69.632,69.641,31,,Female,,White / Caucasian,Extremely Liberal,,5.14,19.159,19.167,8,1,285,EN,,
5/8/25 22:02,5/8/25 22:07,100,284,TRUE,5/8/25 22:07,R_5f3fcAC6rUeJ9Tq,1,,0,0,,Political Science,,,,Graduate student,,4th year,No,3.266,21.389,22.275,7,5,5,3,7.899,17.186,18.649,6,2+ times per day,1 time per day,Somewhat negative,6.173,20.253,21.238,6,0,0,3.131,0,9,7,8,84,70,8,2,20,75,20,No,60,3.96,95.235,106.042,45,90,100,100,100,100,90,100,100,100,4.6,48.985,85.055,35,"AI affecting the methodological training and understanding of graduate students, scholars, and practitioners working in research or research-adjacent fields",Female,,Asian / Asian-American,Extremely Liberal,,1.645,12.212,12.219,9,1,284,EN,,
5/8/25 22:04,5/8/25 22:10,100,367,TRUE,5/8/25 22:10,R_6rj49Ofw65cfCP1,1,,0,0,,Political Science,,,,Graduate student,,2027,Yes,1.884,24.729,25.98,10,6,2,5,5.254,15.431,16.977,5,2-3 times per week,1 time per day,Equally positive and negative,9.049,40.088,40.74,12,0,0,7.329,0,62,49,51,1,51,0,21,81,29,65,,49,6.075,151.848,151.855,48,100,90,98,71,99,100,66,51,49,3.614,68.916,68.922,21,,Male,,Latino / Hispanic,2,,3.099,23.717,23.724,13,1,367,EN,,
5/8/25 22:10,5/8/25 22:24,100,818,TRUE,5/8/25 22:24,R_5d00Te6fdTrIXTz,1,,0,10,,Political Science,,,,Postdoctoral fellow or researcher,,2023,Yes,1.486,12.94,14.582,5,A great deal of experience7,A great deal of experience7,A great deal of experience7,9.772,11.989,12.779,3,2+ times per day,2+ times per day,Somewhat positive,4.719,17.318,18.03,4,0,0,1.592,0,10,0,0,0,20,0,0,0,0,0,"I disagree with using AI to predict outcomes. Many behaviors depend on context and culture, and it can evolve over time. Since AI is trained on the existing data, it is not likely to predict behaviors that has not yet occurred. Even if it could, we could not know it is correct until those events actually happens.",0,3.014,375.745,414.093,56,100,100,100,90,100,100,100,75,100,5.943,291.062,302.395,28,"AI can be helpful assistant in research. However, social scientists study human behavior－not machine behavior. Just as it is not useful to study the behavior of a fictional character in a computer game, AI's behavior is similarly limited in value for understanding real human dynamics.",Male,,Asian / Asian-American,Extremely Liberal,NA,7.335,31.131,44.674,9,1,818,EN,,
5/8/25 22:14,5/8/25 22:26,100,731,TRUE,5/8/25 22:26,R_1gedLrFIABkJ2nE,1,,0,0,,"Political Science,Economics",,,,Graduate student,,2028,Yes,2.629,28.698,29.523,5,A great deal of experience7,5,A great deal of experience7,7.435,19.803,21.127,3,1 time per day,2-3 times per month,Somewhat positive,15.113,29.278,30.387,4,0,0,8.717,0,70,19,18,70,70,75,9,56,50,58,n/a,26,29.199,161.436,175.633,21,100,100,100,100,100,100,100,100,100,21.92,95.004,139.108,15,"AI becoming a ""north star"" for research instead of simply a tool. It should not guide the questions we ask but can help in how we answer them.",Male,,Other,2,n/a,5.679,291.443,309.262,6,1,731,EN,,
5/8/25 22:26,5/8/25 22:33,100,406,TRUE,5/8/25 22:33,R_2nGkKFTmSI6nlwJ,1,,0,0,,Economics,,,,"Professor, or equivalent",,2000,Yes,2.078,18.721,26.213,6,A great deal of experience7,A great deal of experience7,2,7.348,17.79,18.98,4,Never,Never,Somewhat positive,6.156,21.264,22.603,4,0,0,13.085,0,73,67,73,80,72,51,72,73,62,75,no,71,1.862,167.369,169.902,53,12,12,11,73,29,24,27,9,17,60.325,123.642,123.644,32,,Male,,White / Caucasian,Extremely Liberal,,2.294,18.052,18.053,23,1,406,EN,,
5/8/25 22:30,5/8/25 22:40,100,590,TRUE,5/8/25 22:40,R_1Nyybh72EdJaUrQ,1,,0,0,,Other (please specify),Business management,,,"Professor, or equivalent",,2006,Yes,6.01,29.196,31.334,9,A great deal of experience7,A great deal of experience7,No experience at all1,4.879,25.642,28.398,5,2-3 times per month,2-3 times per month,Somewhat positive,19.109,29.396,30.467,6,0,0,21.657,0,100,18,49,29,85,30,100,89,76,75,No,50,17.18,233.947,234.701,30,100,100,100,53,19,100,100,100,23,8.343,143.43,202.03,22,Reliance on AI leading to a decline in researchers skills over time,Male,,White / Caucasian,3,,2.367,24.513,24.52,9,1,590,EN,,
5/8/25 22:50,5/8/25 22:57,100,408,TRUE,5/8/25 22:57,R_8eXDdGIdZYXS8Uy,0.8999999761581421,,0,0,,Political Science,,,,Postdoctoral fellow or researcher,,2023,Yes,1.929,19.028,20.973,4,6,2,4,15.788,27.006,28.084,3,1 time per day,1 time per week,Equally positive and negative,7.39,28.097,28.931,3,0,0,7.435,0,83,56,31,15,65,18,63,31,31,25,,60,61.762,152.273,152.276,19,71,78,95,87,92,65,91,71,53,4.675,115.91,116.804,23,"AI models focusing only/largely on _published_ evidence, strongly amplifying the problems of publication bias that are common in the social sciences.",Male,,White / Caucasian,3,,2.908,28.343,28.345,7,1,408,EN,,
5/8/25 23:19,5/8/25 23:24,100,304,TRUE,5/8/25 23:24,R_1dYWy5XEBHuezzX,1,,0,105,,Political Science,,,,"Assistant Professor, or equivalent",,2017,Yes,8.146,26.162,27.227,7,A great deal of experience7,No experience at all1,4,9.353,18.494,19.544,3,2-3 times per week,1 time per week,Somewhat positive,11.458,23.063,23.841,4,6.99,9.026,10.125,6,81,75,71,51,50,7,75,72,29,75,,76,7.81,119.443,119.447,27,50,51,81,77,66,36,77,84,36,6.444,74.004,74.006,19,,Male,,Asian / Asian-American,2,,2.345,14.143,14.146,4,1,304,EN,,
5/9/25 0:20,5/9/25 0:33,100,818,TRUE,5/9/25 0:33,R_2PdyvMdXE1JDMBX,1,,0,0,,Sociology,,,,Postdoctoral fellow or researcher,,2016,Yes,2.087,20.827,21.931,9,A great deal of experience7,A great deal of experience7,2,5.7,23.776,23.797,9,2-3 times per week,1 time per day,Somewhat positive,15.402,37.528,38.401,6,0,0,12.321,0,100,100,100,100,100,100,100,70,100,100,I Canot think of any,100,4.738,353.814,355.04,84,29,100,100,100,100,60,100,80,15,56.476,128.734,161.391,27,Licenses and Costs that only some institutions can afford ,Female,,White / Caucasian,3,Nice Survey ,1.811,16.925,23.933,13,1,818,EN,,
5/9/25 0:49,5/9/25 0:56,100,388,TRUE,5/9/25 0:56,R_84B1Z2M9AkUSTMF,0.8999999761581421,,0,75,,Other (please specify),Behavioral Science,,,"Assistant Professor, or equivalent",,2020,Yes,7.04,26.468,37.148,5,A great deal of experience7,A great deal of experience7,2,4.4,9.646,10.475,4,2+ times per day,1 time per week,Equally positive and negative,10.147,19.075,19.859,3,9.517,50.68,51.299,2,1,96,7,4,60,7,8,4,78,51,,49,5.143,129.285,129.287,22,50,3,83,93,99,99,97,86,2,3.803,100.498,101.427,19,"It is very often unreliable in its quantitative predictions, and the potential mindless relying on computations without checking is something that concerns me personally.",Female,,White / Caucasian,5,,5.371,22.882,22.884,8,1,388,EN,,
5/9/25 1:48,5/9/25 1:59,100,672,TRUE,5/9/25 1:59,R_263ylli2STyEa6M,0.8999999761581421,,0,0,,"Psychology,Sociology,Political Science,Other (please specify)",Behavioral Science,,,"Assistant Professor, or equivalent",,2021,Yes,4.282,32.406,47.726,10,6,5,No experience at all1,5.343,31.234,47.135,5,2-3 times per month,1 time per month or less,Equally positive and negative,11.103,34.03,36.492,5,0,0,12.036,0,10,60,50,5,75,40,60,20,50,50,"Theoretical considerations, e.g. to help develop alternative hypotheses and design research to discriminate.",70,7.766,284.953,293.136,21,25,70,40,30,60,40,30,50,25,13.479,183.714,194.997,26,Use of AI to develop falsified results. ,Click to write Choice 3,,White / Caucasian,2,,2.237,28.233,28.234,7,1,672,EN,,
5/9/25 2:35,5/9/25 2:40,100,275,TRUE,5/9/25 2:40,R_8QlUM6yyIlOXwkz,1,,0,0,,Psychology,,,,"Assistant Professor, or equivalent",,2019,Yes,5.488,21.334,23.756,4,A great deal of experience7,4,5,4.541,12.932,14.49,3,1 time per day,1 time per day,Equally positive and negative,6.615,27.479,28.256,7,0,0,4.483,0,60,100,90,70,75,95,90,85,50,70,,95,34.214,104.667,104.669,15,40,80,90,10,70,70,15,50,50,9.678,70.55,70.552,13,,Male,,White / Caucasian,3,,4.466,17.529,17.53,6,1,275,EN,,
5/9/25 2:38,5/9/25 2:43,100,293,TRUE,5/9/25 2:43,R_6sc33D8wk4EM7fv,1,,0,35,,Other (please specify),Management,,,Postdoctoral fellow or researcher,,2023,Yes,8.081,23.815,24.932,5,6,6,A great deal of experience7,9.397,12.899,14.009,4,2-3 times per week,1 time per day,Somewhat positive,11.657,20.561,21.764,3,0,0,7.322,0,91,79,50,91,71,21,18,60,50,65,,66,19.46,125.259,125.263,17,50,70,83,20,80,11,31,67,29,3.293,66.334,66.336,18,,Male,,White / Caucasian,3,,1.803,14.663,14.665,4,1,293,EN,,
5/9/25 2:40,5/9/25 2:53,100,766,TRUE,5/9/25 2:53,R_3PdZ3mMd4tNrgng,1,,0,0,,Political Science,,,,Postdoctoral fellow or researcher,,2024,Yes,6.217,183.388,184.305,9,5,5,6,9.475,20.162,21.1,5,2-3 times per week,2+ times per day,Somewhat positive,17.699,36.897,37.6,6,0,0,9.146,0,33,31,24,9,28,1,27,1,6,7,,13,2.56,216.978,216.987,44,68,100,100,100,100,72,95,99,100,7.227,77.715,77.721,28,,Female,,Asian / Asian-American,Extremely Liberal,,1.953,11.704,11.711,9,1,766,EN,,
5/9/25 3:21,5/9/25 3:27,100,381,TRUE,5/9/25 3:27,R_7JsieIwg2pfgtfZ,0.8999999761581421,,0,0,,Political Science,,,,"Assistant Professor, or equivalent",,2022,Yes,2.426,16.738,25.674,10,A great deal of experience7,4,3,3.335,19.903,20.56,5,2+ times per day,1 time per day,Somewhat negative,14.028,20.418,22,4,0,0,5.388,0,100,83,51,72,40,48,99,60,71,78,,83,3.956,155.835,155.846,40,96,77,75,57,86,73,81,18,50,14.248,113.434,113.438,28,,Male,,White / Caucasian,2,"Great work, very curious to hear the results.",1.342,17.913,23.425,8,1,381,EN,,
